,workerid,id,response,sentence_a,sentence_b,shift_a,shift_b,slide_number_in_experiment
1687,117,476,7.0,John worked out the revised work schedule for his employees.,John worked the revised work schedule for his employees out.,0.0,1.0,16
1688,117,343,7.0,Janet discussed about a raise with her new economics team for stock predictions in the finance branch.,Janet discussed with her new economics team for stock predictions in the finance branch about a raise.,0.0,1.0,17
1689,117,314,7.0,Janet negotiatied about a raise for the budget during the annual charity conference in economics.,Janet negotiatied during the annual charity conference in economics about a raise for the budget.,0.0,1.0,18
1691,117,466,4.0,John hand in his performance reviews of company research from the past year.,John hand his performance reviews of company research from the past year in.,1.0,0.0,20
1692,117,105,1.0,Melissa baked for the party fresh vegan muffins with white frosting.,Melissa baked fresh vegan muffins with white frosting for the party.,1.0,0.0,21
1693,117,323,2.0,Janet drove in a big heavy loaded truck to the surfing beach on the coast by her mother's home.,Janet drove to the surfing beach on the coast by her mother's home in a big heavy loaded truck.,1.0,0.0,22
1694,117,278,4.0,Janet discussed about a annual raise for her project with her new assigned team for stock predictions in the company.,Janet discussed with her new assigned team for stock predictions in the company about a annual raise for her project.,1.0,0.0,23
1696,117,212,6.0,John prepared a celebratory feast for his sick mother at the care home.,John prepared his sick mother at the care home a celebratory feast.,0.0,1.0,25
1697,117,123,3.0,Melissa completed at the college courses on astronomy under the famous professor from NASA.,Melissa completed courses on astronomy under the famous professor from NASA at the college.,0.0,1.0,26
1698,117,360,5.0,Janet negotiatied about a generous annual raise for the budget during the dedicated complaints meeting for speaking with HR about company funding.,Janet negotiatied during the dedicated complaints meeting for speaking with HR about company funding about a generous annual raise for the budget.,0.0,1.0,27
1699,117,148,4.0,John showed his expensive handmade outfit from the designer for the gala to the crowded group with bags from America.,John showed the crowded group with bags from America his expensive handmade outfit from the designer for the gala.,0.0,1.0,28
1703,135,184,6.0,John gave beautiful pink flowers with trimmed stems to his step sister in college.,John gave his step sister in college beautiful pink flowers with trimmed stems.,0.0,1.0,5
1704,135,415,7.0,John pointed out the specific intricate detail of the cathedral.,John pointed the specific intricate detail of the cathedral out.,0.0,1.0,6
1705,135,353,4.0,Janet talked about the catastrophic project for the paper during the dedicated meeting for speaking with HR.,Janet talked during the dedicated meeting for speaking with HR about the catastrophic project for the paper.,0.0,1.0,7
1706,135,443,7.0,John put on his favorite jersey with the number of the Habs.,John put his favorite jersey with the number of the Habs on.,0.0,1.0,8
1708,135,257,1.0,Janet chatted inside the popular American restaurant on main street in downtown with the man.,Janet chatted with the man inside the popular American restaurant on main street in downtown.,1.0,0.0,10
1709,135,106,4.0,Melissa enjoyed at her university fascinating courses for her graduate program from NASA.,Melissa enjoyed fascinating courses for her graduate program from NASA at her university.,1.0,0.0,11
1710,135,101,4.0,Melissa awarded to the team a winning trophy with her name for her performance.,Melissa awarded a winning trophy with her name for her performance to the team.,1.0,0.0,12
1711,135,17,1.0,Melissa baked in her kitchen a multilevel blue vanilla sponge cake with pink bows.,Melissa baked a multilevel blue vanilla sponge cake with pink bows in her kitchen.,1.0,0.0,13
1713,135,19,7.0,Melissa brought when she arrived Argentinian street food.,Melissa brought Argentinian street food when she arrived.,0.0,1.0,15
1714,135,308,4.0,Janet talked about the failing project in the data for the analysis for the paper with her rude unprofessional boss.,Janet talked with her rude unprofessional boss about the failing project in the data for the analysis for the paper.,0.0,1.0,16
1715,135,72,1.0,Melissa gifted to the team a large check.,Melissa gifted a large check to the team.,0.0,1.0,17
1716,135,73,1.0,Melissa prepared over the weekend a multilevel blue sponge cake in green frosting with pink bows.,Melissa prepared a multilevel blue sponge cake in green frosting with pink bows over the weekend.,0.0,1.0,18
1718,135,470,7.0,John beats up his mean adopted brother from Denmark.,John beats his mean adopted brother from Denmark up.,1.0,0.0,20
1719,135,41,1.0,Melissa met at the park the tall mysterious man.,Melissa met the tall mysterious man at the park.,1.0,0.0,21
1720,135,326,4.0,Janet chatted about the failing project in the data for the analysis during the annual academia conference in Nepal.,Janet chatted during the annual academia conference in Nepal about the failing project in the data for the analysis.,1.0,0.0,22
1721,135,340,1.0,Janet went with a large rented van for her supplies to the folk music concert in the stadium.,Janet went to the folk music concert in the stadium with a large rented van for her supplies.,1.0,0.0,23
1723,135,166,7.0,John showed his expensive outfit to the crowded group.,John showed the crowded group his expensive outfit.,0.0,1.0,25
1724,135,379,4.0,John turned down her updated stock proposal from the meeting for the funds for his company.,John turned her updated stock proposal from the meeting for the funds for his company down.,0.0,1.0,26
1725,135,84,1.0,Melissa baked in her kitchen a cake in green frosting.,Melissa baked a cake in green frosting in her kitchen.,0.0,1.0,27
1726,135,210,7.0,John showed the famous large art piece to the crowded group.,John showed the crowded group the famous large art piece.,0.0,1.0,28
1730,62,470,2.0,John beats up his mean adopted brother from Denmark.,John beats his mean adopted brother from Denmark up.,0.0,1.0,5
1731,62,340,4.0,Janet went with a large rented van for her supplies to the folk music concert in the stadium.,Janet went to the folk music concert in the stadium with a large rented van for her supplies.,0.0,1.0,6
1732,62,415,2.0,John pointed out the specific intricate detail of the cathedral.,John pointed the specific intricate detail of the cathedral out.,0.0,1.0,7
1733,62,19,1.0,Melissa brought when she arrived Argentinian street food.,Melissa brought Argentinian street food when she arrived.,0.0,1.0,8
1735,62,184,1.0,John gave beautiful pink flowers with trimmed stems to his step sister in college.,John gave his step sister in college beautiful pink flowers with trimmed stems.,1.0,0.0,10
1736,62,41,4.0,Melissa met at the park the tall mysterious man.,Melissa met the tall mysterious man at the park.,1.0,0.0,11
1737,62,17,3.0,Melissa baked in her kitchen a multilevel blue vanilla sponge cake with pink bows.,Melissa baked a multilevel blue vanilla sponge cake with pink bows in her kitchen.,1.0,0.0,12
1738,62,84,2.0,Melissa baked in her kitchen a cake in green frosting.,Melissa baked a cake in green frosting in her kitchen.,1.0,0.0,13
1740,62,72,7.0,Melissa gifted to the team a large check.,Melissa gifted a large check to the team.,0.0,1.0,15
1741,62,106,1.0,Melissa enjoyed at her university fascinating courses for her graduate program from NASA.,Melissa enjoyed fascinating courses for her graduate program from NASA at her university.,0.0,1.0,16
1742,62,210,4.0,John showed the famous large art piece to the crowded group.,John showed the crowded group the famous large art piece.,0.0,1.0,17
1743,62,166,3.0,John showed his expensive outfit to the crowded group.,John showed the crowded group his expensive outfit.,0.0,1.0,18
